instance,group,algorithm,run,seed,alpha,tabu_tenure,of,elapsed_s
MDG-a_1_100_m10.txt,small,GRASP,0,42,0.1,,360.15,30.0
MDG-a_1_100_m10.txt,small,GRASP,1,43,0.1,,360.15,30.002
MDG-a_1_100_m10.txt,small,GRASP,2,44,0.1,,360.15,30.001
MDG-a_1_100_m10.txt,small,GRASP,3,45,0.1,,360.15,30.001
MDG-a_1_100_m10.txt,small,GRASP,4,46,0.1,,360.15,30.0
MDG-a_1_100_m10.txt,small,GRASP+TS,0,42,0.25,15,360.15,30.001
MDG-a_1_100_m10.txt,small,GRASP+TS,1,43,0.25,15,360.15,30.0
MDG-a_1_100_m10.txt,small,GRASP+TS,2,44,0.25,15,360.15,30.001
MDG-a_1_100_m10.txt,small,GRASP+TS,3,45,0.25,15,360.15,30.0
MDG-a_1_100_m10.txt,small,GRASP+TS,4,46,0.25,15,360.15,30.0
MDG-a_4_100_m10.txt,small,GRASP,0,42,0.1,,355.72,30.001
MDG-a_4_100_m10.txt,small,GRASP,1,43,0.1,,355.72,30.001
MDG-a_4_100_m10.txt,small,GRASP,2,44,0.1,,355.72,30.001
MDG-a_4_100_m10.txt,small,GRASP,3,45,0.1,,355.72,30.0
MDG-a_4_100_m10.txt,small,GRASP,4,46,0.1,,355.72,30.001
MDG-a_4_100_m10.txt,small,GRASP+TS,0,42,0.25,15,355.72,30.0
MDG-a_4_100_m10.txt,small,GRASP+TS,1,43,0.25,15,355.72,30.0
MDG-a_4_100_m10.txt,small,GRASP+TS,2,44,0.25,15,355.72,30.0
MDG-a_4_100_m10.txt,small,GRASP+TS,3,45,0.25,15,355.72,30.0
MDG-a_4_100_m10.txt,small,GRASP+TS,4,46,0.25,15,355.72,30.001
MDG-a_10_100_m10.txt,small,GRASP,0,42,0.1,,355.5,30.0
MDG-a_10_100_m10.txt,small,GRASP,1,43,0.1,,355.5,30.001
MDG-a_10_100_m10.txt,small,GRASP,2,44,0.1,,355.5,30.001
MDG-a_10_100_m10.txt,small,GRASP,3,45,0.1,,355.5,30.002
MDG-a_10_100_m10.txt,small,GRASP,4,46,0.1,,355.5,30.003
MDG-a_10_100_m10.txt,small,GRASP+TS,0,42,0.25,15,355.5,30.0
MDG-a_10_100_m10.txt,small,GRASP+TS,1,43,0.25,15,355.5,30.0
MDG-a_10_100_m10.txt,small,GRASP+TS,2,44,0.25,15,355.5,30.001
MDG-a_10_100_m10.txt,small,GRASP+TS,3,45,0.25,15,355.5,30.001
MDG-a_10_100_m10.txt,small,GRASP+TS,4,46,0.25,15,355.5,30.001
MDG-a_12_100_m10.txt,small,GRASP,0,42,0.1,,354.25,30.0
MDG-a_12_100_m10.txt,small,GRASP,1,43,0.1,,354.25,30.0
MDG-a_12_100_m10.txt,small,GRASP,2,44,0.1,,354.25,30.002
MDG-a_12_100_m10.txt,small,GRASP,3,45,0.1,,354.25,30.001
MDG-a_12_100_m10.txt,small,GRASP,4,46,0.1,,354.25,30.002
MDG-a_12_100_m10.txt,small,GRASP+TS,0,42,0.25,15,354.25,30.001
MDG-a_12_100_m10.txt,small,GRASP+TS,1,43,0.25,15,354.25,30.0
MDG-a_12_100_m10.txt,small,GRASP+TS,2,44,0.25,15,354.25,30.0
MDG-a_12_100_m10.txt,small,GRASP+TS,3,45,0.25,15,354.25,30.0
MDG-a_12_100_m10.txt,small,GRASP+TS,4,46,0.25,15,354.25,30.0
